,ADJINC,PWGTP,AGEP,CIT,CITWP
936,1056030,10,1,1,
937,1056030,48,64,1,
938,1056030,49,64,1,
939,1056030,5,64,1,
940,1056030,6,63,1,
941,1056030,8,42,1,
942,1056030,9,43,1,
943,1056030,9,16,1,
944,1056030,9,11,1,
945,1056030,8,8,1,
946,1056030,74,49,1,
947,1056030,103,44,1,
948,1056030,92,11,1,
949,1056030,93,8,1,
950,1056030,2,69,1,
951,1056030,2,62,1,
952,1056030,48,44,5,
953,1056030,71,39,5,
954,1056030,83,20,5,
955,1056030,45,14,1,
956,1056030,45,13,1,
957,1056030,8,24,1,
958,1056030,18,4,1,
959,1056030,81,53,1,
960,1056030,78,50,1,
961,1056030,55,18,1,
962,1056030,16,81,1,
963,1056030,95,41,1,
964,1056030,108,33,1,
965,1056030,171,35,1,
966,1056030,130,12,1,
967,1056030,101,8,1,
968,1056030,10,77,1,
969,1056030,11,80,1,
970,1056030,23,23,5,
971,1056030,10,35,1,
972,1056030,12,32,1,
973,1056030,13,11,1,
974,1056030,12,9,1,
975,1056030,12,6,1,
976,1056030,14,3,1,
977,1056030,41,29,1,
978,1056030,41,2,1,
979,1056030,42,38,1,
980,1056030,12,60,1,
981,1056030,14,60,1,
982,1056030,34,69,1,
983,1056030,4,56,1,
984,1056030,4,57,1,
985,1056030,14,60,1,
986,1056030,13,58,1,
987,1056030,11,46,1,
988,1056030,5,41,1,
989,1056030,6,18,1,
990,1056030,5,14,1,
991,1056030,8,39,1,
992,1056030,22,22,1,
993,1056030,24,19,1,
994,1056030,28,0,1,
995,1056030,22,93,1,
996,1056030,21,76,1,
997,1056030,30,44,1,
998,1056030,26,48,1,
999,1056030,30,22,1,
1000,1056030,14,20,1,
1001,1056030,20,21,1,
1002,1056030,43,56,4,1993.0
1003,1056030,7,41,1,
1004,1056030,22,42,1,
1005,1056030,29,43,1,
1006,1056030,63,24,1,
1007,1056030,56,27,1,
1008,1056030,12,33,1,
1009,1056030,11,31,1,
1010,1056030,15,1,1,
1011,1056030,13,64,1,
1012,1056030,17,51,1,
1013,1056030,9,63,1,
1014,1056030,15,65,1,
1015,1056030,21,69,1,
1016,1056030,18,21,1,
1017,1056030,12,18,1,
1018,1056030,4,26,1,
1019,1056030,13,16,1,
1020,1056030,17,56,1,
1021,1056030,4,55,1,
1022,1056030,10,59,1,
1023,1056030,9,61,1,
1024,1056030,10,61,1,
1025,1056030,5,62,1,
1026,1056030,1,60,1,
1027,1056030,1,56,1,
1028,1056030,4,43,5,
1029,1056030,21,51,1,
1030,1056030,25,56,1,
1031,1056030,51,54,1,
1032,1056030,86,58,1,
1033,1056030,28,88,1,
1034,1056030,22,81,1,
1035,1056030,27,59,1,
1036,1056030,28,61,1,
1037,1056030,26,16,1,
1038,1056030,5,53,1,
1039,1056030,4,52,1,
1040,1056030,6,93,1,
1041,1056030,3,43,1,
1042,1056030,3,24,1,
1043,1056030,20,56,1,
1044,1056030,24,27,1,
1045,1056030,14,64,1,
1046,1056030,15,58,1,
1047,1056030,32,48,1,
